Filename,HTID,Author,Title,Year,Region,Rights,OCLC
pst_000000276474.json,pst.000000276474,London Jack,The Star Rover,1915,west,9,5087921
pst_000002020952.json,pst.000002020952,Train Arthur Cheney,The Man Who Rocked The Earth,1915,newengland,9,2081412
pst_000002037578.json,pst.000002037578,London Jack,The Call Of The Wild,1903,west,9,166544183
pst_000004752981.json,pst.000004752981,Porter Eleanor H.,Pollyanna Grows Up,1915,newengland,9,11655727
pst_000005981762.json,pst.000005981762,Wharton Edith,Summer,1917,northeast,9,316878132
pst_000006062620.json,pst.000006062620,Deming P.,Adirondack Stories,1880,northeast,9,1011329
pst_000006086329.json,pst.000006086329,Howells William Dean,Indian Summer,1886,midwest,9,11547179
pst_000006155315.json,pst.000006155315,Morley Christopher,Parnassus On Wheels,1917,northeast,9,5973978
pst_000006168827.json,pst.000006168827,Green Anna Katharine,The Leavenworth Case: A Lawyer'S Story,1878,northeast,1,790657
pst_000025153446.json,pst.000025153446,Richards Laura Elizabeth (Howe),Captain January,1892,newengland,9,7647176
pst_000028009924.json,pst.000028009924,Austin Mary Hunter,Isidro,1904,west,1,68567
uc1_$b105944.json,uc1.$b105944,Tarkington Booth,The Magnificent Ambersons,1918,midwest,1,14145073
uc1_$b244247.json,uc1.$b244247,Ferber Edna,Personality Plus; Some Experiences Of Emma Mcchesney And Her Son Jock,1914,midwest,1,988281
uc1_$b282572.json,uc1.$b282572,Brown Alice,By Oak And Thorn; A Record Of English Days:,1896,newengland,1,4031604
uc1_$b299742.json,uc1.$b299742,Cabell James Branch,The High Place: A Comedy Of Disenchantment,1923,south,9,2735298
uc1_$b299785.json,uc1.$b299785,Casparian Gregory,An Anglo-American Alliance; A Serio-Comic Romance And Forecast Of The Future,1906,northeast,1,9165651
uc1_$b312538.json,uc1.$b312538,Smedley Agnes,Daughter Of Earth,1935,midwest,1,1688955
uc1_$b323517.json,uc1.$b323517,Cabell James Branch,Domnei: A Comedy Of Woman-Worship,1920,south,1,6501460
uc1_$b399390.json,uc1.$b399390,Merritt Abraham,The Ship Of Ishtar,1924,northeast,5,213777617
uc1_$b807329.json,uc1.$b807329,Cooper James Fenimore,The Monikins,1835,northeast,1,27483762
uc1_31158002048287.json,uc1.31158002048287,Merritt Abraham,The Moon Pool,1919,northeast,1,2040520
uc1_31158004107131.json,uc1.31158004107131,Stowe Harriet Beecher,Dred: A Tale Of The Great Dismal Swamp,1856,newengland,1,5901064
uc1_31175007486486.json,uc1.31175007486486,Lardner Ring,You Know Me Al; A Busher'S Letters,1916,midwest,1,1191124
uc1_31175013937654.json,uc1.31175013937654,Churchill Winston,The Crisis,1901,newengland,1,4458457
uc1_31175013997435.json,uc1.31175013997435,Page Thomas Nelson,Red Rock; A Chronicle Of Reconstruction,1898,south,1,273417
uc1_31175035210668.json,uc1.31175035210668,Longfellow Henry Wadsworth,Hyperion A Romance,1839,newengland,1,1937789
uc1_31210001393923.json,uc1.31210001393923,London Jack,White Fang,1905,west,1,1750211
uc1_31822012363016.json,uc1.31822012363016,Baker Olaf,Shasta Of The Wolves,1919,west,1,1592968
uc1_31822016518573.json,uc1.31822016518573,Crane Stephen,Maggie A Child Of The Streets,1896,northeast,9,779951
uc1_31822021267919.json,uc1.31822021267919,Fitzgerald F. Scott,The Beautiful And Damned,1922,northeast,9,3401895
uc1_31822038205332.json,uc1.31822038205332,Brown William Hill,The Power Of Sympathy: Or The Triumph Of Nature Founded In Truth,1894,newengland,1,52424112
uc1_32106002076195.json,uc1.32106002076195,Major Charles,When Knighthood Was In Flower;,1898,midwest,1,10334673
uc1_32106002086806.json,uc1.32106002086806,Anderson Sherwood,Poor White: A Novel,1920,midwest,1,544607
uc1_32106005389298.json,uc1.32106005389298,London Jack,John Barleycorn. Illustrated,1913,west,9,254473082
uc1_32106013554032.json,uc1.32106013554032,Twain Mark,Pudd'Nhead Wilson A Tale,1894,midwest,9,2521367
uc1_a0000579839.json,uc1.a0000579839,Webster Jean,When Patty Went To College,1903,northeast,1,38723523
uc1_a0013854963.json,uc1.a0013854963,Cooke Rose Terry,The Deacon'S Week,1891,newengland,9,319968632
uc1_b3159692.json,uc1.b3159692,King Grace Elizabeth,New Orleans: The Place And The People,1895,south,9,
uc1_b3325427.json,uc1.b3325427,Deland Margaret Wade Campbell,The Rising Tide,1916,northeast,9,1001773
uc1_b3335465.json,uc1.b3335465,Wharton Edith,The Buccaneers,1938,northeast,1,418656
uc1_b3578444.json,uc1.b3578444,Garland Hamlin,A Member Of The Third House: A Dramatic Story,1892,midwest,1,3549064
uc1_b3688343.json,uc1.b3688343,Gallico Paul,The Snow Goose,1941,northeast,1,284978
uc1_b4087791.json,uc1.b4087791,Pyle Howard,The Story Of The Champions Of The Round Table Written And Illustrated,1905,south,1,2.16E+14
uc1_b4087933.json,uc1.b4087933,Hawes Charles Boardman,The Dark Frigate; Wherein Is Told The Story Of Philip Marsham Who Lived In The Time Of King Charles And Was Bred A Sailor But Came Home To England After Many Hazards By Sea And Land And Fought For The King At Newbury And Lost A Great Inheritance And Departed For Barbados In The Same Ship By Curious Chance In Which He Had Long Before Adventured With The Pirates,1923,newengland,1,2685833
uc1_b4091139.json,uc1.b4091139,Lewis Sinclair,The Innocents: A Story For Lovers,1917,midwest,1,2.17E+15
uc1_b4104443.json,uc1.b4104443,Cummins Maria S.,The Lamplighter,1854,newengland,1,2.18E+16
uc1_b4445430.json,uc1.b4445430,Ferber Edna,So Big,1924,midwest,2,2517983
uc1_b4503991.json,uc1.b4503991,Austin Mary Hunter,The Land Of Little Rain,1903,west,9,
uc1_l0081066383.json,uc1.l0081066383,Serviss Garrett Putnam,Edison'S Conquest Of Mars; With An Introd,1947,northeast,1,2494245
uc2_ark+=13960=fk06w9683k.json,uc2.ark:/13960/fk06w9683k,Dodd Anna Bowman,The Republic Of The Future: Or Socialism A Reality,1887,northeast,1,46463218
uc2_ark+=13960=fk1jh3d30d.json,uc2.ark:/13960/fk1jh3d30d,Tyler Royall,The Algerine Captive; Or The Life And Adventures Of Doctor Updike Underhill [Pseud.] Six Years A Prisoner Among The Algerines,1816,newengland,1,3462671
uc2_ark+=13960=fk1kh0f00h.json,uc2.ark:/13960/fk1kh0f00h,Cooper James Fenimore,The Last Of The Mohicans; A Narrative Of 1757 .,1834,northeast,1,33263019
uc2_ark+=13960=fk1ng4gr96.json,uc2.ark:/13960/fk1ng4gr96,Bangs John Kendrick,A House-Boat On The Styx; Being Some Account Of The Divers Doings Of The Associated Shades,1896,northeast,1,271266
uc2_ark+=13960=fk20c4sp7v.json,uc2.ark:/13960/fk20c4sp7v,Westcott Edward Noyes,David Harum: A Story Of American Life,1898,northeast,1,559648
uc2_ark+=13960=fk23b5wc8f.json,uc2.ark:/13960/fk23b5wc8f,Lindsay Vachel,The Golden Book Of Springfield,1920,midwest,1,288539
uc2_ark+=13960=fk29882q61.json,uc2.ark:/13960/fk29882q61,Freeman Mary Eleanor Wilkins,A Humble Romance And Other Stories,1887,newengland,1,273826
uc2_ark+=13960=fk3028pk84.json,uc2.ark:/13960/fk3028pk84,Garland Hamlin,A Daughter Of The Middle Border,1921,midwest,1,272043
uc2_ark+=13960=fk3416t547.json,uc2.ark:/13960/fk3416t547,Bellamy Edward,--Dr. Heidenhoff'S Process,1880,newengland,9,3888582
uc2_ark+=13960=fk3mw28j83.json,uc2.ark:/13960/fk3mw28j83,Lewis Sinclair,Free Air,1919,midwest,9,24179358
uc2_ark+=13960=fk5q81518x.json,uc2.ark:/13960/fk5q81518x,Deland Margaret Wade Campbell,The Iron Woman,1911,northeast,9,271600
uc2_ark+=13960=fk7rn30m6t.json,uc2.ark:/13960/fk7rn30m6t,Mitchell S. Weir,The Red City; A Novel Of The Second Administration Of President Washington,1908,northeast,1,879832
uc2_ark+=13960=t0000068b.json,uc2.ark:/13960/t0000068b,Eggleston Edward,Queer Stories For Boys And Girls,1884,midwest,1,16908689
uc2_ark+=13960=t02z14r3d.json,uc2.ark:/13960/t02z14r3d,Schindler Solomon,Young West; A Sequel To Edward Bellamy'S Celebrated Novel Looking Backward,1894,newengland,1,1877019
uc2_ark+=13960=t06w96g2r.json,uc2.ark:/13960/t06w96g2r,Howe E. W.,The Mystery Of The Locks,1885,midwest,1,3654594
uc2_ark+=13960=t0ht2gj4c.json,uc2.ark:/13960/t0ht2gj4c,Churchill Winston,Richard Carvel,1899,newengland,9,270936
uc2_ark+=13960=t0ks6k117.json,uc2.ark:/13960/t0ks6k117,Churchill Winston,The Crossing,1904,newengland,1,213756445
uc2_ark+=13960=t0ns0mc7c.json,uc2.ark:/13960/t0ns0mc7c,Pyle Howard,The Story Of Sir Launcelot And His Companions,1907,south,1,303073
uc2_ark+=13960=t0qr4ns31.json,uc2.ark:/13960/t0qr4ns31,Hutchings Emily Grant,Jap Herron; A Novel Written From The Ouija Board; With An Introduction The Coming Of Jap Herron,1917,midwest,1,4109231
uc2_ark+=13960=t0qr4nv3x.json,uc2.ark:/13960/t0qr4nv3x,London Jack,A Son Of The Sun,1913,west,9,9560916
uc2_ark+=13960=t0zp3wv0g.json,uc2.ark:/13960/t0zp3wv0g,Rice Alice Caldwell Hegan,Mrs. Wiggs Of The Cabbage Patch,1901,south,1,301653
uc2_ark+=13960=t10p0ww49.json,uc2.ark:/13960/t10p0ww49,Hawthorne Nathaniel,The Scarlet Letter: A Romance,1866,newengland,1,362799339
uc2_ark+=13960=t10p0x73q.json,uc2.ark:/13960/t10p0x73q,Cable George Washington,The Silent South Together With The Freedman'S Case In Equity And The Convict Lease System,1885,south,1,1471855
uc2_ark+=13960=t11n7zx9m.json,uc2.ark:/13960/t11n7zx9m,Fuller Henry Blake,The Cliff-Dwellers A Novel,1893,midwest,1,1240013
uc2_ark+=13960=t17m04t77.json,uc2.ark:/13960/t17m04t77,Cable George Washington,Old Creole Days,1879,south,1,625387
uc2_ark+=13960=t19k4928q.json,uc2.ark:/13960/t19k4928q,Dixon Thomas,The Foolish Virgin; A Romance Of Today,1915,south,9,4804128
uc2_ark+=13960=t1bk19479.json,uc2.ark:/13960/t1bk19479,Webster Jean,Just Patty,1911,northeast,9,2000457
uc2_ark+=13960=t1cj87t34.json,uc2.ark:/13960/t1cj87t34,Longfellow Henry Wadsworth,The Song Of Hiawatha,1855,newengland,1,929012
uc2_ark+=13960=t1dj5bp28.json,uc2.ark:/13960/t1dj5bp28,Dreiser Theodore,"The ""Genius""",1915,midwest,9,294159
uc2_ark+=13960=t1pg1jk92.json,uc2.ark:/13960/t1pg1jk92,Dixon Thomas,The Sins Of The Father: A Romance Of The South,1912,south,1,2831937
uc2_ark+=13960=t1pg1jp9d.json,uc2.ark:/13960/t1pg1jp9d,Carryl Charles E.,The Admiral'S Caravan,1909,northeast,1,2641340
uc2_ark+=13960=t1vd6qc77.json,uc2.ark:/13960/t1vd6qc77,Eggleston Edward,The Faith Doctor; A Story Of New York,1891,midwest,1,274771
uc2_ark+=13960=t20c4ss2f.json,uc2.ark:/13960/t20c4ss2f,Harris Joel Chandler,Free Joe And Other Georgian Sketches,1887,south,1,20498728
uc2_ark+=13960=t22b8vp36.json,uc2.ark:/13960/t22b8vp36,Melville Herman,Israel Potter: His Fifty Years Of Exile,1855,northeast,1,13065897
uc2_ark+=13960=t25b06m1c.json,uc2.ark:/13960/t25b06m1c,Seton Ernest Thompson,Bannertail: The Story Of A Graysquirrel,1922,northeast,1,248995
uc2_ark+=13960=t26970r57.json,uc2.ark:/13960/t26970r57,Baum L. Frank,John Dough And The Cherub. Illustrated,1906,northeast,1,1377799
uc2_ark+=13960=t29883n91.json,uc2.ark:/13960/t29883n91,Freeman Mary Eleanor Wilkins,Pembroke; A Novel,1894,newengland,1,1900142
uc2_ark+=13960=t2c825j0h.json,uc2.ark:/13960/t2c825j0h,Tarkington Booth,Monsieur Beaucaire,1900,midwest,1,275273
uc2_ark+=13960=t2c828j6n.json,uc2.ark:/13960/t2c828j6n,Rihani Ameen Fares,The Book Of Khalid,1911,northeast,1,6412012
uc2_ark+=13960=t2q52gg3v.json,uc2.ark:/13960/t2q52gg3v,Coolidge Susan,What Katy Did. A Story,1873,newengland,1,418216
uc2_ark+=13960=t2s46h987.json,uc2.ark:/13960/t2s46h987,Mccutcheon George Barr,Graustark,1916,midwest,1,1898311
uc2_ark+=13960=t2v40kj53.json,uc2.ark:/13960/t2v40kj53,Jewett Sarah Orne,The Country Of The Pointed Firs,1896,newengland,1,5693110
uc2_ark+=13960=t3319t77r.json,uc2.ark:/13960/t3319t77r,Stockton Frank Richard,The Adventures Of Captain Horn,1895,northeast,1,1583097
uc2_ark+=13960=t3513vn8c.json,uc2.ark:/13960/t3513vn8c,Dreiser Theodore,Jennie Gerhardt: A Novel,1911,midwest,1,3452093
uc2_ark+=13960=t3804zk57.json,uc2.ark:/13960/t3804zk57,Grant Robert,The Orchid: [A Novel],1905,newengland,1,3853315
uc2_ark+=13960=t3kw57w1s.json,uc2.ark:/13960/t3kw57w1s,Melville Herman,Omoo: A Narrative Of Adventures In The South Seas,1847,northeast,1,4988695
uc2_ark+=13960=t3st7xb3s.json,uc2.ark:/13960/t3st7xb3s,Baum L. Frank,The Road To Oz,1909,northeast,1,16691041
uc2_ark+=13960=t41r6ng7k.json,uc2.ark:/13960/t41r6ng7k,Melville Herman,Redburn: His First Voyage.  Being The Sailor-Boy Confessions And Reminiscences Of The Son-Of-A-Gentleman In The Merchant Service,1849,northeast,1,3268577
uc2_ark+=13960=t42r3q42p.json,uc2.ark:/13960/t42r3q42p,Thompson Maurice,Alice Of Old Vincennes,1900,midwest,1,42380311
uc2_ark+=13960=t45q4ss8w.json,uc2.ark:/13960/t45q4ss8w,Howells William Dean,The Flight Of Pony Baker; A Boy'S Town Story,1902,midwest,9,845932
uc2_ark+=13960=t46q1t25m.json,uc2.ark:/13960/t46q1t25m,Crawford F. Marion,A Roman Singer,1885,newengland,9,8828859
uc2_ark+=13960=t46q1tp3q.json,uc2.ark:/13960/t46q1tp3q,Davis Richard Harding,The Princess Aline,1895,northeast,1,271352
uc2_ark+=13960=t47p8tr4q.json,uc2.ark:/13960/t47p8tr4q,Smith J. Gregory,Seola,1878,newengland,1,3691437
uc2_ark+=13960=t4gm84b8g.json,uc2.ark:/13960/t4gm84b8g,Cobb Sylvanus,The Gun-Maker Of Moscow Or Vladimir The Monk,1890,newengland,1,7989332
uc2_ark+=13960=t4xg9gr62.json,uc2.ark:/13960/t4xg9gr62,Read Opie Percival,The Jucklins; A Novel,1896,south,1,12173624
uc2_ark+=13960=t51g0k27m.json,uc2.ark:/13960/t51g0k27m,Stuart Ruth Mcenery,A Golden Wedding And Other Tales,1893,south,1,730190
uc2_ark+=13960=t54f1nc40.json,uc2.ark:/13960/t54f1nc40,Terhune Albert Payson,Lad: A Dog,1919,northeast,1,234286
uc2_ark+=13960=t55d8pp04.json,uc2.ark:/13960/t55d8pp04,Stowe Harriet Beecher,The Minister'S Wooing,1859,newengland,1,2.67E+15
uc2_ark+=13960=t57d2tc41.json,uc2.ark:/13960/t57d2tc41,Lincoln Jeanie Thomas Gould,Marjorie'S Quest,1872,northeast,1,7678112
uc2_ark+=13960=t59c6sd79.json,uc2.ark:/13960/t59c6sd79,Crawford F. Marion,Saracinesca,1887,newengland,1,944099
uc2_ark+=13960=t5r78659h.json,uc2.ark:/13960/t5r78659h,Savage Richard,My Official Wife A Novel,1891,northeast,9,2216601
uc2_ark+=13960=t6251qd7m.json,uc2.ark:/13960/t6251qd7m,Smith J. Gregory,Atla: A Story Of The Lost Island,1886,newengland,1,8058441
uc2_ark+=13960=t6542km7m.json,uc2.ark:/13960/t6542km7m,Glasgow Ellen Anderson Gholson,Virginia,1913,south,1,1192791
uc2_ark+=13960=t6k06xf7c.json,uc2.ark:/13960/t6k06xf7c,St. John De Crèvecœur J. Hector,Letters From An American Farmer,1904,northeast,1,123194107
uc2_ark+=13960=t71v5cc8w.json,uc2.ark:/13960/t71v5cc8w,Pyle Howard,Otto Of The Silver Hand Written And Illustrated,1888,south,1,5268512
uc2_ark+=13960=t72v2cw1d.json,uc2.ark:/13960/t72v2cw1d,Churchill Winston,Coniston,1906,newengland,9,271149
uc2_ark+=13960=t73t9dx4b.json,uc2.ark:/13960/t73t9dx4b,Freeman Mary Eleanor Wilkins,A New England Nun And Other Stories,1891,newengland,1,5040269
uc2_ark+=13960=t79s1m928.json,uc2.ark:/13960/t79s1m928,Howells William Dean,The Rise Of Silas Lapham,1885,midwest,1,941329
uc2_ark+=13960=t7gq6sz2m.json,uc2.ark:/13960/t7gq6sz2m,Curwood James Oliver,Kazan,1914,midwest,1,2746310
uc2_ark+=13960=t7pn8xx18.json,uc2.ark:/13960/t7pn8xx18,Cable George Washington,The Grandissimes: A Story Of Creole Life,1880,south,1,943286
uc2_ark+=13960=t80k27t9m.json,uc2.ark:/13960/t80k27t9m,Cooper James Fenimore,Jack Tier: Or The Florida Reef,1856,northeast,1,43705054
uc2_ark+=13960=t80k2g393.json,uc2.ark:/13960/t80k2g393,Stoddard Elizabeth,The Morgesons,1862,newengland,1,5790371
uc2_ark+=13960=t83j3b29z.json,uc2.ark:/13960/t83j3b29z,Pyle Howard,The Story Of King Arthur And His Knights Written And Illustrated,1903,south,1,2669868
uc2_ark+=13960=t88g8g708.json,uc2.ark:/13960/t88g8g708,Micheaux Oscar,The Forged Note: A Romance Of The Darker Races,1915,midwest,1,2058028
uc2_ark+=13960=t89g5hm37.json,uc2.ark:/13960/t89g5hm37,Eggleston Edward,The Hoosier Schoolmaster: A Novel,1871,midwest,1,7973901
uc2_ark+=13960=t8cf9kp28.json,uc2.ark:/13960/t8cf9kp28,Cabell James Branch,Jurgen; A Comedy Of Justice,1919,south,1,944674
uc2_ark+=13960=t8jd4q97q.json,uc2.ark:/13960/t8jd4q97q,Henry O.,Cabbages And Kings,1918,south,9,16577176
uc2_ark+=13960=t8mc8tk7b.json,uc2.ark:/13960/t8mc8tk7b,Finn Francis James,Tom Playfair: Or Making A Start,1891,midwest,1,2350252
uc2_ark+=13960=t8qb9vs20.json,uc2.ark:/13960/t8qb9vs20,Major Charles,Dorothy Vernon Of Haddon Hall,1902,midwest,1,1160473
uc2_ark+=13960=t9086446n.json,uc2.ark:/13960/t9086446n,Harris Joel Chandler,Mingo And Other Sketches In Black And White,1884,south,1,11893401
uc2_ark+=13960=t96689g9k.json,uc2.ark:/13960/t96689g9k,Murfree Mary Noailles,The Prophet Of The Great Smoky Mountains,1886,south,1,21009633
uc2_ark+=13960=t9959df6w.json,uc2.ark:/13960/t9959df6w,Morley Christopher,The Haunted Bookshop,1919,northeast,1,1724792
uc2_ark+=13960=t9k35n34m.json,uc2.ark:/13960/t9k35n34m,Chopin Kate,A Night In Acadie,1897,midwest,1,2413641
uc2_ark+=13960=t9p26s33r.json,uc2.ark:/13960/t9p26s33r,Baum L. Frank,Aunt Jane'S Nieces,1906,northeast,1,2545776
uc2_ark+=13960=t9q23sg7s.json,uc2.ark:/13960/t9q23sg7s,Lewis Sinclair,Our Mr. Wrenn,1914,midwest,1,21254097
uc2_ark+=13960=t9r20sn6q.json,uc2.ark:/13960/t9r20sn6q,Emerson Ralph Waldo,Nature,1836,newengland,1,624952
uc2_ark+=13960=t9z030k35.json,uc2.ark:/13960/t9z030k35,Burnett Frances Hodgson,A Lady Of Quality: Being A Most Curious Hitherto Unknown History As Related,1896,northeast,1,7931938
uiug_30112002081575.json,uiug.30112002081575,Ballou Maturin Murray,Fanny Campbell The Female Pirate Captain,1846,newengland,1,
uiug_30112002566278.json,uiug.30112002566278,Curwood James Oliver,The River'S End,1919,midwest,1,5297563
uiug_30112003179055.json,uiug.30112003179055,Tarkington Booth,Penrod And Sam,1916,midwest,1,491149
uiug_30112003400519.json,uiug.30112003400519,Wodehouse P. G.,Jill The Reckless,1921,northeast,9,6017415
uiug_30112004564214.json,uiug.30112004564214,Baum L. Frank,Annabel: A Novel For Young Folks,1906,northeast,1,30880211
uiug_30112039815623.json,uiug.30112039815623,London Jack,The Sea-Wolf. With Illustrations,1904,west,1,169815
uiug_30112099870047.json,uiug.30112099870047,Wharton Edith,The House Of Mirth: With Ill,1905,northeast,1,631665022
uiug_30112109057239.json,uiug.30112109057239,March Harry Addison,"Pro Football Its ""Ups"" And ""Downs""; A Light-Hearted History Of The Post Graduate Game",1934,midwest,9,4849231
uiuo_ark+=13960=t6547gx0x.json,uiuo.ark:/13960/t6547gx0x,Holmes Oliver Wendell,Elsie Venner A Romance Of Destiny,1861,newengland,1,11077797
uiuo_ark+=13960=t6p05166j.json,uiuo.ark:/13960/t6p05166j,Cooper James Fenimore,Home As Found,1838,northeast,1,1424861
umn_31951000932628c.json,umn.31951000932628c,Otis James,The Boy Spies Of Philadelphia: The Story Of How The Young Spies Helped The Continental Army At Valley Forge,1897,newengland,1,23936839
umn_31951001630983f.json,umn.31951001630983f,Adams Henry,Esther: A Novel,1938,newengland,1,487995
umn_31951001631493r.json,umn.31951001631493r,Brown Charles Brockden,Ormond;,1857,northeast,1,3403413
umn_31951001994268y.json,umn.31951001994268y,Foster Hannah Webster,The Coquette Or The Life And Letters Of Eliza Wharton: A Novel Founded On Fact,1828,newengland,1,62619726
umn_31951002024367l.json,umn.31951002024367l,Janvier Thomas A.,In The Sargasso Sea: A Novel,1898,northeast,1,20359030
umn_31951002080049j.json,umn.31951002080049j,Page John W.,Uncle Robin: In His Cabin In Virginia And Tom Without One In Boston,1853,south,1,21911819
umn_31951002083086y.json,umn.31951002083086y,Wodehouse P. G.,Piccadilly Jim,1917,northeast,1,644880
umn_31951002101791s.json,umn.31951002101791s,Hall Baynard Rush,Frank Freeman'S Barber Shop: A Tale,1853,northeast,1,7231135
umn_31951002314608a.json,umn.31951002314608a,Melville Herman,The Confidence-Man: His Masquerade,1857,northeast,1,1862021
uva_x000078365.json,uva.x000078365,Wylie Philip,Gladiator [By] Philip Wylie,1930,northeast,2,3703960
uva_x000211129.json,uva.x000211129,Cahan Abraham,The Rise Of David Levinsky: A Novel,1951,northeast,9,4.73E+13
uva_x000362635.json,uva.x000362635,Grant Robert,Unleavened Bread A Novel,1900,newengland,1,477011537
uva_x000593755.json,uva.x000593755,Thompson Ruth Plumly,The Cowardly Lion Of Oz,1923,northeast,1,1665506
uva_x000835612.json,uva.x000835612,Baum L. Frank,The Patchwork Girl Of Oz,1913,northeast,9,1385384
uva_x000890006.json,uva.x000890006,Peterson Charles J.,The Cabin And Parlor;,1852,northeast,1,213516308
uva_x000961129.json,uva.x000961129,Adams Samuel Hopkins,Flaming Youth [By] Warner Fabian Pseud,1924,northeast,2,2452737
uva_x001007721.json,uva.x001007721,Whitman Walt,Franklin Evans; Or The Inebriate. A Tale Of The Times. With Introduction,1929,northeast,9,1335046
uva_x001084053.json,uva.x001084053,Hawthorne Nathaniel,Fanshawe And Other Pieces,1876,newengland,1,1836086
uva_x002014207.json,uva.x002014207,Pyle Howard,The Story Of The Grail And The Passing Of Arthur,1910,south,1,3319662
uva_x002015843.json,uva.x002015843,Murfree Mary Noailles,In The Tennessee Mountains;,1885,south,1,11123190
uva_x002059568.json,uva.x002059568,Reid Christian,The Land Of The Sky;,1876,south,1,1410636
uva_x004548149.json,uva.x004548149,Robertson Morgan,The Wreck Of The Titan: Or Futility,1929,northeast,9,21309854
uva_x030580544.json,uva.x030580544,London Jack,Before Adam,1906,west,1,6542652
wu_89002441343.json,wu.89002441343,Baum L. Frank,The Magic Of Oz,1919,northeast,1,7748894
wu_89005059373.json,wu.89005059373,Mccutcheon George Barr,The Day Of The Dog,1904,midwest,1,7793953
wu_89007333735.json,wu.89007333735,Burgess Thornton W.,The Adventures Of Danny Meadow Mouse,1919,newengland,1,19705996
wu_89075322529.json,wu.89075322529,Schmidt Sarah Lindsay,New Land A Novel For Boys And Girls,1933,midwest,1,4092380
wu_89098007586.json,wu.89098007586,Satterthwait Elisabeth Carpenter,A Son Of The Carolinas: A Story Of The Hurricane Upon The Sea Islands,1898,south,1,1927621
wu_89098013949.json,wu.89098013949,Burnett Frances Hodgson,Queen Silver-Bell,1906,northeast,1,13718601
wu_89098015142.json,wu.89098015142,Child Lydia Maria,Hobomok A Tale Of Early Times,1824,newengland,1,2915626
wu_89098878929.json,wu.89098878929,Austin Mary Hunter,The Flock,1906,west,1,21735574
wu_89098985658.json,wu.89098985658,Tarkington Booth,Gentle Julia,1922,midwest,1,12274502
wu_89099773699.json,wu.89099773699,Churchill Winston,A Far Country/,1915,newengland,9,17538811
wu_89099774077.json,wu.89099774077,Twain Mark,Tom Sawyer Detective: And Other Stories,1924,midwest,1,40343576
